,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  3 ,  - ,  1 ,  1 ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강남구,논현동,  7 ,  3 ,  3 ,  - ,  - ,  - ,  1 ,  - ,  - 
서울특별시,강남구,대치동,  2 ,  1 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강남구,도곡동,  2 ,  - ,  - ,  - ,  2 ,  - ,  - ,  - ,  - 
서울특별시,강남구,삼성동,  11 ,  1 ,  2 ,  1 ,  2 ,  1 ,  - ,  3 ,  1 
서울특별시,강남구,세곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,수서동,  6 ,  4 ,  - ,  - ,  2 ,  - ,  - ,  - ,  - 
서울특별시,강남구,신사동,  2 ,  - ,  - ,  1 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강남구,압구정동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,역삼동,  2 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,율현동,  2 ,  - ,  1 ,  - ,  - ,  - ,  1 ,  - ,  - 
서울특별시,강남구,일원동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,자곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,청담동,  3 ,  1 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,강일동,  3 ,  2 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강동구,고덕동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,길동,  3 ,  - ,  - ,  - ,  - ,  1 ,  1 ,  1 ,  - 
서울특별시,강동구,둔촌동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,명일동,  2 ,  - ,  - ,  - ,  - ,  1 ,  - ,  1 ,  - 
서울특별시,강동구,상일동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,성내동,  9 ,  1 ,  2 ,  - ,  3 ,  1 ,  - ,  2 ,  - 
서울특별시,강동구,암사동,  4 ,  2 ,  1 ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강동구,천호동,  2 ,  1 ,  - ,  - ,  - ,  1 ,  - ,  - ,  - 
서울특별시,강북구,미아동,  7 ,  1 ,  2 ,  2 ,  - ,  1 ,  - ,  1 ,  - 
서울특별시,강북구,번동,  9 ,  4 ,  - ,  4 ,  - ,  1 ,  - ,  - ,  - 
서울특별시,강북구,수유동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강북구,우이동,  4 ,  1 ,  - ,  2 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,가양동,  2 ,  - ,  - ,  - ,  2 ,  - ,  - ,  - ,  - 
서울특별시,강서구,개화동,  17 ,  1 ,  - ,  1 ,  15 ,  - ,  - ,  - ,  - 
서울특별시,강서구,공항동,  3 ,  - ,  - ,  - ,  - ,  - ,  1 ,  1 ,  1 
서울특별시,강서구,과해동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,내발산동,  2 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,등촌동,  5 ,  - ,  - ,  - ,  3 ,  - ,  - ,  2 ,  - 
서울특별시,강서구,마곡동,  12 ,  2 ,  - ,  5 ,  4 ,  - ,  - ,  1 ,  - 
서울특별시,강서구,방화동,  11 ,  1 ,  8 ,  1 ,  - ,  1 ,  - ,  - ,  - 
서울특별시,강서구,염창동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,오곡동,  19 ,  - ,  - ,  1 ,  - ,  - ,  - ,  6 ,  12 
서울특별시,강서구,오쇠동,  23 ,  3 ,  2 ,  12 ,  6 ,  - ,  - ,  - ,  - 
서울특별시,강서구,외발산동,  35 ,  13 ,  2 ,  2 ,  3 ,  - ,  7 ,  7 ,  1 
서울특별시,강서구,화곡동,  6 ,  - ,  1 ,  - ,  1 ,  1 ,  - ,  3 ,  - 
서울특별시,관악구,남현동,  101 ,  3 ,  3 ,  3 ,  11 ,  78 ,  - ,  3 ,  - 
서울특별시,관악구,봉천동,  14 ,  5 ,  4 ,  2 ,  2 ,  - ,  - ,  1 ,  - 
서울특별시,관악구,신림동,  8 ,  2 ,  - ,  1 ,  2 ,  1 ,  - ,  2 ,  - 
서울특별시,광진구,광장동,  3 ,  - ,  1 ,  - ,  - ,  1 ,  - ,  1 ,  - 
서울특별시,광진구,구의동,  10 ,  2 ,  2 ,  2 ,  2 ,  - ,  1 ,  1 ,  - 
서울특별시,광진구,군자동,  1 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,능동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,자양동,  25 ,  2 ,  4 ,  3 ,  3 ,  6 ,  - ,  5 ,  2 
서울특별시,광진구,중곡동,  4 ,  1 ,  2 ,  - ,  - ,  - ,  1 ,  - ,  - 
서울특별시,광진구,화양동,  1 ,  - ,  1 ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,구로구,가리봉동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,구로구,개봉동,  3 ,  - ,  - ,  - ,  - ,  1 ,  - ,  2 ,  - 
