,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  86 ,  4 ,  6 ,  6 ,  19 ,  24 ,  16 ,  3 ,  8 
서울특별시,강남구,논현동,  78 ,  11 ,  9 ,  7 ,  12 ,  17 ,  11 ,  11 ,  - 
서울특별시,강남구,대치동,  175 ,  25 ,  26 ,  13 ,  37 ,  37 ,  19 ,  14 ,  4 
서울특별시,강남구,도곡동,  47 ,  4 ,  8 ,  8 ,  9 ,  4 ,  5 ,  6 ,  3 
서울특별시,강남구,삼성동,  70 ,  11 ,  6 ,  6 ,  13 ,  11 ,  12 ,  9 ,  2 
서울특별시,강남구,세곡동,  19 ,  10 ,  - ,  - ,  1 ,  - ,  - ,  - ,  8 
서울특별시,강남구,수서동,  41 ,  3 ,  5 ,  14 ,  16 ,  1 ,  1 ,  - ,  1 
서울특별시,강남구,신사동,  85 ,  10 ,  19 ,  8 ,  17 ,  15 ,  6 ,  10 ,  - 
서울특별시,강남구,압구정동,  14 ,  - ,  2 ,  - ,  6 ,  1 ,  2 ,  2 ,  1 
서울특별시,강남구,역삼동,  119 ,  23 ,  20 ,  15 ,  13 ,  14 ,  16 ,  18 ,  - 
서울특별시,강남구,율현동,  11 ,  5 ,  3 ,  - ,  - ,  3 ,  - ,  - ,  - 
서울특별시,강남구,일원동,  47 ,  2 ,  2 ,  5 ,  16 ,  8 ,  10 ,  - ,  4 
서울특별시,강남구,자곡동,  8 ,  6 ,  - ,  - ,  - ,  2 ,  - ,  - ,  - 
서울특별시,강남구,청담동,  51 ,  9 ,  11 ,  5 ,  9 ,  5 ,  4 ,  8 ,  - 
서울특별시,강동구,강일동,  20 ,  19 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강동구,고덕동,  52 ,  7 ,  4 ,  3 ,  4 ,  12 ,  18 ,  4 ,  - 
서울특별시,강동구,길동,  61 ,  12 ,  5 ,  6 ,  13 ,  5 ,  13 ,  6 ,  1 
서울특별시,강동구,둔촌동,  61 ,  12 ,  7 ,  10 ,  5 ,  8 ,  10 ,  9 ,  - 
서울특별시,강동구,명일동,  49 ,  9 ,  10 ,  5 ,  5 ,  9 ,  10 ,  1 ,  - 
서울특별시,강동구,상일동,  46 ,  8 ,  4 ,  2 ,  3 ,  8 ,  18 ,  3 ,  - 
서울특별시,강동구,성내동,  83 ,  15 ,  16 ,  9 ,  10 ,  15 ,  13 ,  4 ,  1 
서울특별시,강동구,암사동,  69 ,  15 ,  4 ,  15 ,  14 ,  7 ,  7 ,  6 ,  1 
서울특별시,강동구,천호동,  95 ,  24 ,  8 ,  13 ,  8 ,  4 ,  14 ,  22 ,  2 
서울특별시,강북구,미아동,  196 ,  37 ,  26 ,  21 ,  35 ,  11 ,  16 ,  50 ,  - 
서울특별시,강북구,번동,  63 ,  12 ,  16 ,  10 ,  13 ,  9 ,  1 ,  1 ,  1 
서울특별시,강북구,수유동,  202 ,  30 ,  24 ,  29 ,  40 ,  28 ,  13 ,  38 ,  - 
서울특별시,강북구,우이동,  28 ,  2 ,  4 ,  9 ,  2 ,  3 ,  1 ,  7 ,  - 
서울특별시,강서구,가양동,  62 ,  9 ,  14 ,  9 ,  25 ,  1 ,  - ,  3 ,  1 
서울특별시,강서구,개화동,  12 ,  6 ,  - ,  2 ,  - ,  - ,  1 ,  3 ,  - 
서울특별시,강서구,공항동,  35 ,  7 ,  8 ,  5 ,  - ,  7 ,  4 ,  3 ,  1 
서울특별시,강서구,과해동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,내발산동,  73 ,  31 ,  8 ,  7 ,  5 ,  5 ,  12 ,  5 ,  - 
서울특별시,강서구,등촌동,  129 ,  28 ,  23 ,  21 ,  31 ,  7 ,  7 ,  12 ,  - 
서울특별시,강서구,마곡동,  20 ,  10 ,  4 ,  - ,  3 ,  2 ,  1 ,  - ,  - 
서울특별시,강서구,방화동,  102 ,  21 ,  16 ,  13 ,  26 ,  7 ,  6 ,  11 ,  2 
서울특별시,강서구,염창동,  30 ,  2 ,  7 ,  10 ,  5 ,  2 ,  2 ,  2 ,  - 
서울특별시,강서구,오곡동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,오쇠동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,외발산동,  5 ,  3 ,  - ,  - ,  - ,  1 ,  1 ,  - ,  - 
서울특별시,강서구,화곡동,  259 ,  47 ,  44 ,  33 ,  35 ,  38 ,  31 ,  30 ,  1 
서울특별시,관악구,남현동,  22 ,  2 ,  5 ,  4 ,  2 ,  1 ,  1 ,  7 ,  - 
서울특별시,관악구,봉천동,  316 ,  46 ,  70 ,  53 ,  32 ,  22 ,  36 ,  55 ,  2 
서울특별시,관악구,신림동,  522 ,  99 ,  85 ,  122 ,  65 ,  49 ,  45 ,  54 ,  3 
서울특별시,광진구,광장동,  63 ,  7 ,  15 ,  16 ,  8 ,  3 ,  5 ,  6 ,  3 
서울특별시,광진구,구의동,  88 ,  9 ,  19 ,  20 ,  15 ,  4 ,  2 ,  17 ,  2 
서울특별시,광진구,군자동,  60 ,  6 ,  11 ,  8 ,  3 ,  4 ,  8 ,  11 ,  9 
서울특별시,광진구,능동,  61 ,  11 ,  6 ,  8 ,  - ,  2 ,  4 ,  21 ,  9 
서울특별시,광진구,자양동,  107 ,  17 ,  15 ,  9 ,  16 ,  18 ,  15 ,  16 ,  1 
서울특별시,광진구,중곡동,  108 ,  17 ,  11 ,  15 ,  17 ,  10 ,  8 ,  30 ,  - 
서울특별시,광진구,화양동,  77 ,  7 ,  20 ,  6 ,  6 ,  6 ,  9 ,  20 ,  3 
서울특별시,구로구,가리봉동,  21 ,  2 ,  2 ,  2 ,  7 ,  2 ,  - ,  6 ,  - 
서울특별시,구로구,개봉동,  94 ,  13 ,  16 ,  16 ,  10 ,  11 ,  12 ,  15 ,  1 
서울특별시,구로구,고척동,  62 ,  12 ,  7 ,  7 ,  9 ,  10 ,  8 ,  8 ,  1 
서울특별시,구로구,구로동,  131 ,  30 ,  15 ,  17 ,  16 ,  25 ,  13 ,  11 ,  4 
서울특별시,구로구,궁동,  32 ,  11 ,  7 ,  3 ,  5 ,  1 ,  3 ,  2 ,  - 
서울특별시,구로구,신도림동,  19 ,  6 ,  2 ,  6 ,  - ,  1 ,  3 ,  1 ,  - 
서울특별시,구로구,오류동,  71 ,  13 ,  12 ,  5 ,  8 ,  5 ,  5 ,  6 ,  17 
서울특별시,구로구,온수동,  9 ,  1 ,  1 ,  - ,  1 ,  2 ,  2 ,  2 ,  - 
서울특별시,구로구,천왕동,  10 ,  9 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,구로구,항동,  11 ,  4 ,  - ,  1 ,  - ,  - ,  1 ,  5 ,  - 
서울특별시,금천구,가산동,  54 ,  11 ,  11 ,  9 ,  5 ,  3 ,  5 ,  8 ,  2 
서울특별시,금천구,독산동,  155 ,  31 ,  20 ,  18 ,  24 ,  14 ,  16 ,  26 ,  6 
서울특별시,금천구,시흥동,  177 ,  21 ,  29 ,  24 ,  31 ,  12 ,  25 ,  32 ,  3 
