,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,"  1,230 ",  72 ,  86 ,  90 ,  196 ,  384 ,  343 ,  5 ,  54 
서울특별시,강남구,논현동,"  2,495 ",  208 ,  495 ,  502 ,  613 ,  303 ,  152 ,  219 ,  3 
서울특별시,강남구,대치동,"  1,442 ",  86 ,  382 ,  220 ,  298 ,  139 ,  214 ,  91 ,  12 
서울특별시,강남구,도곡동,  521 ,  42 ,  102 ,  63 ,  104 ,  91 ,  53 ,  65 ,  1 
서울특별시,강남구,삼성동,"  1,286 ",  129 ,  296 ,  205 ,  226 ,  149 ,  173 ,  90 ,  18 
서울특별시,강남구,세곡동,  276 ,  116 ,  14 ,  7 ,  5 ,  - ,  102 ,  32 ,  - 
서울특별시,강남구,수서동,  139 ,  17 ,  3 ,  14 ,  62 ,  33 ,  - ,  2 ,  8 
서울특별시,강남구,신사동,  789 ,  37 ,  127 ,  148 ,  246 ,  60 ,  61 ,  107 ,  3 
서울특별시,강남구,압구정동,  177 ,  2 ,  - ,  2 ,  3 ,  13 ,  38 ,  91 ,  28 
서울특별시,강남구,역삼동,"  2,605 ",  254 ,  654 ,  590 ,  574 ,  239 ,  163 ,  130 ,  1 
서울특별시,강남구,율현동,  216 ,  35 ,  6 ,  2 ,  27 ,  120 ,  - ,  9 ,  17 
서울특별시,강남구,일원동,"  1,016 ",  4 ,  25 ,  12 ,  198 ,  338 ,  394 ,  4 ,  41 
서울특별시,강남구,자곡동,  317 ,  137 ,  14 ,  2 ,  29 ,  113 ,  1 ,  9 ,  12 
서울특별시,강남구,청담동,  840 ,  67 ,  124 ,  117 ,  211 ,  112 ,  83 ,  87 ,  39 
서울특별시,강동구,강일동,  184 ,  129 ,  2 ,  1 ,  3 ,  1 ,  4 ,  11 ,  33 
서울특별시,강동구,고덕동,"  1,176 ",  17 ,  5 ,  12 ,  29 ,  682 ,  413 ,  5 ,  13 
서울특별시,강동구,길동,"  1,556 ",  217 ,  239 ,  159 ,  278 ,  351 ,  217 ,  79 ,  16 
서울특별시,강동구,둔촌동,"  1,140 ",  139 ,  109 ,  62 ,  113 ,  302 ,  134 ,  230 ,  51 
서울특별시,강동구,명일동,  671 ,  42 ,  70 ,  47 ,  87 ,  188 ,  191 ,  40 ,  6 
서울특별시,강동구,상일동,  626 ,  70 ,  2 ,  14 ,  22 ,  219 ,  266 ,  16 ,  17 
서울특별시,강동구,성내동,"  3,335 ",  349 ,  560 ,  297 ,  545 ,  831 ,  417 ,  293 ,  43 
서울특별시,강동구,암사동,"  2,686 ",  503 ,  263 ,  160 ,  301 ,  720 ,  389 ,  243 ,  107 
서울특별시,강동구,천호동,"  5,359 ",  331 ,  400 ,  255 ,  988 ,"  1,775 ",  626 ,  864 ,  120 
서울특별시,강북구,미아동,"  10,759 ",  636 ,  595 ,  483 ,"  2,750 ","  1,438 ",  786 ,"  4,061 ",  10 
서울특별시,강북구,번동,"  2,807 ",  131 ,  123 ,  205 ,  967 ,  653 ,  113 ,  608 ,  7 
서울특별시,강북구,수유동,"  8,949 ",  871 ,  554 ,  540 ,"  1,968 ","  1,412 ",  830 ,"  2,766 ",  8 
서울특별시,강북구,우이동,  923 ,  60 ,  62 ,  70 ,  172 ,  76 ,  55 ,  423 ,  5 
서울특별시,강서구,가양동,  308 ,  21 ,  27 ,  33 ,  143 ,  25 ,  15 ,  27 ,  17 
서울특별시,강서구,개화동,  392 ,  24 ,  13 ,  5 ,  1 ,  4 ,  210 ,  132 ,  3 
서울특별시,강서구,공항동,"  1,849 ",  175 ,  290 ,  168 ,  260 ,  431 ,  47 ,  429 ,  49 
서울특별시,강서구,과해동,  20 ,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  17 
서울특별시,강서구,내발산동,  997 ,  225 ,  229 ,  98 ,  100 ,  129 ,  116 ,  74 ,  26 
서울특별시,강서구,등촌동,"  1,469 ",  186 ,  211 ,  125 ,  296 ,  279 ,  109 ,  247 ,  16 
서울특별시,강서구,마곡동,  186 ,  97 ,  11 ,  13 ,  13 ,  2 ,  17 ,  15 ,  18 
서울특별시,강서구,방화동,"  2,742 ",  173 ,  324 ,  246 ,  537 ,  508 ,  214 ,  669 ,  71 
서울특별시,강서구,염창동,  445 ,  55 ,  73 ,  64 ,  67 ,  41 ,  27 ,  93 ,  25 
서울특별시,강서구,오곡동,  41 ,  - ,  - ,  - ,  1 ,  - ,  2 ,  - ,  38 
서울특별시,강서구,오쇠동,  28 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  28 
서울특별시,강서구,외발산동,  67 ,  3 ,  14 ,  5 ,  7 ,  3 ,  9 ,  19 ,  7 
서울특별시,강서구,화곡동,"  11,346 ","  1,657 ","  1,507 ","  1,495 ","  2,050 ","  2,458 ",  844 ,"  1,295 ",  40 
서울특별시,관악구,남현동,  819 ,  164 ,  101 ,  80 ,  197 ,  107 ,  66 ,  70 ,  34 
서울특별시,관악구,봉천동,"  10,976 ","  1,056 ","  1,080 ",  713 ,"  2,278 ","  1,771 ",  974 ,"  2,952 ",  152 
서울특별시,관악구,신림동,"  14,574 ","  1,357 ",  896 ,  853 ,"  3,572 ","  3,842 ","  1,301 ","  2,605 ",  148 
서울특별시,광진구,광장동,  484 ,  45 ,  41 ,  52 ,  50 ,  79 ,  50 ,  151 ,  16 
서울특별시,광진구,구의동,"  4,003 ",  505 ,  481 ,  417 ,  891 ,  671 ,  199 ,  825 ,  14 
서울특별시,광진구,군자동,"  1,738 ",  168 ,  113 ,  151 ,  392 ,  442 ,  69 ,  402 ,  1 
서울특별시,광진구,능동,"  1,027 ",  208 ,  89 ,  157 ,  130 ,  152 ,  43 ,  241 ,  7 
서울특별시,광진구,자양동,"  5,570 ",  463 ,  357 ,  362 ,"  1,190 ","  1,430 ",  485 ,"  1,281 ",  2 
서울특별시,광진구,중곡동,"  6,736 ",  838 ,  687 ,  514 ,"  1,507 ","  1,494 ",  383 ,"  1,288 ",  25 
서울특별시,광진구,화양동,"  1,725 ",  171 ,  61 ,  76 ,  381 ,  532 ,  110 ,  392 ,  2 
서울특별시,구로구,가리봉동,"  1,271 ",  32 ,  99 ,  27 ,  265 ,  226 ,  79 ,  469 ,  74 
서울특별시,구로구,개봉동,"  3,966 ",  351 ,  383 ,  341 ,  562 ,  948 ,  392 ,  836 ,  153 
서울특별시,구로구,고척동,"  2,487 ",  125 ,  143 ,  108 ,  353 ,  637 ,  285 ,  659 ,  177 
서울특별시,구로구,구로동,"  6,410 ",  399 ,  613 ,  470 ,"  1,515 ","  1,078 ",  619 ,"  1,039 ",  677 
서울특별시,구로구,궁동,  637 ,  84 ,  74 ,  53 ,  180 ,  90 ,  50 ,  79 ,  27 
서울특별시,구로구,신도림동,  540 ,  15 ,  35 ,  73 ,  98 ,  13 ,  46 ,  222 ,  38 
서울특별시,구로구,오류동,"  1,984 ",  133 ,  218 ,  95 ,  273 ,  366 ,  229 ,  484 ,  186 
서울특별시,구로구,온수동,  262 ,  69 ,  29 ,  15 ,  44 ,  21 ,  32 ,  17 ,  35 
서울특별시,구로구,천왕동,  139 ,  103 ,  - ,  1 ,  - ,  - ,  17 ,  8 ,  10 
서울특별시,구로구,항동,  174 ,  18 ,  17 ,  14 ,  6 ,  8 ,  33 ,  27 ,  51 
서울특별시,금천구,가산동,  818 ,  57 ,  79 ,  45 ,  98 ,  130 ,  44 ,  333 ,  32 
서울특별시,금천구,독산동,"  5,573 ",  442 ,  397 ,  287 ,  798 ,"  1,452 ",  911 ,"  1,209 ",  77 
서울특별시,금천구,시흥동,"  5,729 ",  373 ,  369 ,  263 ,  890 ,"  1,611 ","  1,037 ","  1,075 ",  111 
서울특별시,노원구,공릉동,"  2,188 ",  372 ,  340 ,  198 ,  355 ,  242 ,  187 ,  488 ,  6 
서울특별시,노원구,상계동,"  4,330 ",  222 ,  287 ,  408 ,"  1,336 ",  971 ,  438 ,  649 ,  19 
서울특별시,노원구,월계동,"  1,550 ",  111 ,  157 ,  101 ,  241 ,  222 ,  140 ,  560 ,  18 
서울특별시,노원구,중계동,"  1,318 ",  56 ,  73 ,  81 ,  199 ,  772 ,  30 ,  48 ,  59 
서울특별시,노원구,하계동,  361 ,  38 ,  41 ,  60 ,  85 ,  83 ,  29 ,  21 ,  4 
서울특별시,도봉구,도봉동,"  2,245 ",  157 ,  168 ,  150 ,  496 ,  423 ,  337 ,  479 ,  35 
서울특별시,도봉구,방학동,"  3,115 ",  271 ,  245 ,  236 ,  866 ,  708 ,  485 ,  291 ,  13 
서울특별시,도봉구,쌍문동,"  3,743 ",  359 ,  298 ,  245 ,  810 ,  577 ,  277 ,"  1,167 ",  10 
서울특별시,도봉구,창동,"  3,567 ",  346 ,  293 ,  253 ,"  1,139 ",  688 ,  151 ,  680 ,  17 
서울특별시,동대문구,답십리동,"  2,609 ",  90 ,  89 ,  147 ,  564 ,  435 ,  196 ,"  1,064 ",  24 
서울특별시,동대문구,신설동,  280 ,  12 ,  8 ,  10 ,  34 ,  6 ,  16 ,  143 ,  51 
서울특별시,동대문구,용두동,"  2,465 ",  157 ,  98 ,  91 ,  311 ,  121 ,  274 ,"  1,248 ",  165 
서울특별시,동대문구,이문동,"  4,818 ",  70 ,  121 ,  227 ,"  1,377 ",  659 ,  252 ,"  2,063 ",  49 
서울특별시,동대문구,장안동,"  2,420 ",  317 ,  175 ,  57 ,  413 ,  251 ,  653 ,  554 ,  - 
서울특별시,동대문구,전농동,"  3,350 ",  149 ,  103 ,  181 ,  702 ,  451 ,  322 ,"  1,321 ",  121 
서울특별시,동대문구,제기동,"  3,061 ",  149 ,  170 ,  114 ,  365 ,  180 ,  562 ,"  1,324 ",  197 
서울특별시,동대문구,청량리동,"  1,727 ",  41 ,  37 ,  59 ,  230 ,  167 ,  185 ,  661 ,  347 
서울특별시,동대문구,회기동,  853 ,  45 ,  57 ,  61 ,  196 ,  151 ,  44 ,  269 ,  30 
서울특별시,동대문구,휘경동,"  2,638 ",  174 ,  102 ,  149 ,  821 ,  498 ,  157 ,  711 ,  26 
서울특별시,동작구,노량진동,"  2,865 ",  70 ,  71 ,  89 ,  457 ,  656 ,  378 ,  698 ,  446 
서울특별시,동작구,대방동,"  1,596 ",  170 ,  167 ,  104 ,  302 ,  194 ,  134 ,  412 ,  113 
서울특별시,동작구,동작동,  202 ,  25 ,  19 ,  6 ,  21 ,  47 ,  17 ,  43 ,  24 
서울특별시,동작구,본동,  705 ,  46 ,  37 ,  14 ,  40 ,  121 ,  45 ,  72 ,  330 
서울특별시,동작구,사당동,"  5,668 ",  560 ,  460 ,  347 ,"  1,144 ","  1,349 ",  417 ,"  1,325 ",  66 
서울특별시,동작구,상도1동,  650 ,  104 ,  56 ,  44 ,  93 ,  106 ,  62 ,  151 ,  34 
서울특별시,동작구,상도동,"  6,577 ",  833 ,  551 ,  364 ,  976 ,"  1,078 ",  700 ,"  1,546 ",  529 
서울특별시,동작구,신대방동,"  1,929 ",  236 ,  147 ,  108 ,  384 ,  458 ,  120 ,  406 ,  70 
서울특별시,동작구,흑석동,"  2,996 ",  71 ,  88 ,  110 ,  551 ,  458 ,  356 ,  728 ,  634 
서울특별시,마포구,공덕동,"  1,643 ",  50 ,  127 ,  129 ,  423 ,  76 ,  47 ,  370 ,  421 
서울특별시,마포구,구수동,  69 ,  15 ,  4 ,  5 ,  8 ,  8 ,  - ,  27 ,  2 
서울특별시,마포구,노고산동,  623 ,  15 ,  20 ,  23 ,  106 ,  167 ,  49 ,  177 ,  66 
서울특별시,마포구,당인동,  128 ,  11 ,  4 ,  3 ,  38 ,  36 ,  12 ,  22 ,  2 
서울특별시,마포구,대흥동,"  1,061 ",  30 ,  40 ,  57 ,  235 ,  133 ,  87 ,  369 ,  110 
서울특별시,마포구,도화동,  652 ,  27 ,  30 ,  86 ,  99 ,  104 ,  21 ,  146 ,  139 
서울특별시,마포구,동교동,  459 ,  15 ,  29 ,  41 ,  92 ,  106 ,  25 ,  134 ,  17 
서울특별시,마포구,마포동,  118 ,  12 ,  15 ,  12 ,  13 ,  4 ,  - ,  49 ,  13 
서울특별시,마포구,망원동,"  2,473 ",  320 ,  260 ,  115 ,  555 ,  534 ,  141 ,  540 ,  8 
서울특별시,마포구,상수동,  447 ,  83 ,  45 ,  31 ,  98 ,  54 ,  15 ,  113 ,  8 
서울특별시,마포구,상암동,  638 ,  174 ,  139 ,  65 ,  71 ,  - ,  35 ,  97 ,  57 
서울특별시,마포구,서교동,"  1,488 ",  158 ,  193 ,  182 ,  285 ,  196 ,  51 ,  389 ,  34 
서울특별시,마포구,성산동,"  2,037 ",  230 ,  214 ,  141 ,  389 ,  402 ,  147 ,  487 ,  27 
서울특별시,마포구,신공덕동,  434 ,  28 ,  16 ,  25 ,  99 ,  47 ,  35 ,  94 ,  90 
서울특별시,마포구,신수동,  998 ,  84 ,  76 ,  50 ,  208 ,  106 ,  42 ,  357 ,  75 
서울특별시,마포구,신정동,  11 ,  - ,  - ,  7 ,  - ,  - ,  - ,  4 ,  - 
서울특별시,마포구,아현동,"  1,431 ",  89 ,  12 ,  22 ,  88 ,  131 ,  158 ,  543 ,  388 
서울특별시,마포구,연남동,"  1,766 ",  207 ,  176 ,  100 ,  287 ,  286 ,  65 ,  615 ,  30 
서울특별시,마포구,염리동,"  1,597 ",  12 ,  64 ,  85 ,  302 ,  195 ,  130 ,  644 ,  165 
서울특별시,마포구,용강동,  208 ,  49 ,  26 ,  3 ,  27 ,  14 ,  11 ,  40 ,  38 
서울특별시,마포구,중동,  269 ,  14 ,  30 ,  27 ,  46 ,  67 ,  29 ,  48 ,  8 
서울특별시,마포구,창전동,  515 ,  48 ,  51 ,  58 ,  105 ,  53 ,  13 ,  151 ,  36 
서울특별시,마포구,토정동,  26 ,  - ,  1 ,  5 ,  2 ,  - ,  - ,  15 ,  3 
서울특별시,마포구,하중동,  12 ,  8 ,  - ,  - ,  - ,  1 ,  1 ,  2 ,  - 
서울특별시,마포구,합정동,"  1,318 ",  164 ,  144 ,  73 ,  259 ,  313 ,  91 ,  253 ,  21 
서울특별시,마포구,현석동,  72 ,  5 ,  12 ,  4 ,  22 ,  3 ,  2 ,  20 ,  4 
서울특별시,서대문구,남가좌동,"  2,218 ",  135 ,  96 ,  105 ,  423 ,  441 ,  119 ,  874 ,  25 
서울특별시,서대문구,냉천동,  107 ,  17 ,  7 ,  2 ,  8 ,  8 ,  8 ,  22 ,  35 
서울특별시,서대문구,대신동,  161 ,  9 ,  26 ,  27 ,  22 ,  21 ,  8 ,  43 ,  5 
서울특별시,서대문구,대현동,  241 ,  10 ,  1 ,  19 ,  27 ,  21 ,  16 ,  108 ,  39 
서울특별시,서대문구,미근동,  84 ,  - ,  - ,  2 ,  3 ,  5 ,  1 ,  49 ,  24 
서울특별시,서대문구,봉원동,  103 ,  4 ,  1 ,  1 ,  3 ,  1 ,  54 ,  32 ,  7 
서울특별시,서대문구,북가좌동,"  2,689 ",  300 ,  343 ,  157 ,  374 ,  357 ,  188 ,  933 ,  37 
서울특별시,서대문구,북아현동,"  2,074 ",  55 ,  107 ,  122 ,  463 ,  290 ,  266 ,  638 ,  133 
서울특별시,서대문구,신촌동,  101 ,  3 ,  5 ,  11 ,  11 ,  3 ,  15 ,  51 ,  2 
서울특별시,서대문구,연희동,"  3,475 ",  204 ,  248 ,  245 ,  517 ,  413 ,  322 ,"  1,483 ",  43 
서울특별시,서대문구,영천동,  170 ,  1 ,  3 ,  5 ,  24 ,  2 ,  2 ,  52 ,  81 
서울특별시,서대문구,옥천동,  182 ,  4 ,  6 ,  10 ,  55 ,  39 ,  1 ,  49 ,  18 
서울특별시,서대문구,창천동,  919 ,  84 ,  94 ,  60 ,  154 ,  186 ,  95 ,  224 ,  22 
서울특별시,서대문구,천연동,  269 ,  11 ,  28 ,  15 ,  93 ,  34 ,  7 ,  53 ,  28 
서울특별시,서대문구,충정로2가,  108 ,  5 ,  9 ,  3 ,  12 ,  6 ,  1 ,  45 ,  27 
서울특별시,서대문구,충정로3가,  510 ,  18 ,  24 ,  13 ,  32 ,  34 ,  84 ,  242 ,  63 
서울특별시,서대문구,합동,  34 ,  3 ,  3 ,  1 ,  - ,  - ,  - ,  21 ,  6 
서울특별시,서대문구,현저동,  109 ,  - ,  - ,  18 ,  1 ,  - ,  10 ,  40 ,  40 
서울특별시,서대문구,홍은동,"  3,662 ",  225 ,  238 ,  164 ,  505 ,  659 ,  367 ,"  1,422 ",  82 
