기온,날짜,자치구
-7.533333333,20150101,종로구
-6.0,20150102,종로구
0.025,20150103,종로구
2.225,20150104,종로구
3.879166667,20150105,종로구
-5.5541666670000005,20150106,종로구
-5.391666667000001,20150107,종로구
-4.254166667,20150108,종로구
-1.6458333330000001,20150109,종로구
1.533333333,20150110,종로구
-2.391666667,20150111,종로구
-2.116666667,20150112,종로구
1.5125,20150113,종로구
2.6,20150114,종로구
3.2125,20150115,종로구
-1.3875,20150116,종로구
-3.7375,20150117,종로구
0.504166667,20150118,종로구
-1.9916666669999998,20150119,종로구
0.754166667,20150120,종로구
3.054166667,20150121,종로구
2.441666667,20150122,종로구
2.045833333,20150123,종로구
3.575,20150124,종로구
3.733333333,20150125,종로구
1.6458333330000001,20150126,종로구
-5.170833333,20150127,종로구
-2.5958333330000003,20150128,종로구
-0.933333333,20150129,종로구
-4.45,20150130,종로구
-4.158333333,20150131,종로구
-7.533333333,20150101,중구
-6.0,20150102,중구
0.025,20150103,중구
2.225,20150104,중구
3.879166667,20150105,중구
-5.5541666670000005,20150106,중구
-5.391666667000001,20150107,중구
-4.254166667,20150108,중구
-1.6458333330000001,20150109,중구
1.533333333,20150110,중구
-2.391666667,20150111,중구
-2.116666667,20150112,중구
1.5125,20150113,중구
2.6,20150114,중구
3.2125,20150115,중구
-1.3875,20150116,중구
-3.7375,20150117,중구
0.504166667,20150118,중구
-1.9916666669999998,20150119,중구
0.754166667,20150120,중구
3.054166667,20150121,중구
2.441666667,20150122,중구
2.045833333,20150123,중구
3.575,20150124,중구
3.733333333,20150125,중구
1.6458333330000001,20150126,중구
-5.170833333,20150127,중구
-2.5958333330000003,20150128,중구
-0.933333333,20150129,중구
-4.45,20150130,중구
-4.158333333,20150131,중구
-6.579166667000001,20150101,용산구
-4.825,20150102,용산구
0.320833333,20150103,용산구
2.8625,20150104,용산구
4.195833333,20150105,용산구
-4.479166667,20150106,용산구
-4.308333333,20150107,용산구
-2.925,20150108,용산구
-0.595833333,20150109,용산구
2.125,20150110,용산구
-1.404166667,20150111,용산구
-0.995833333,20150112,용산구
2.120833333,20150113,용산구
3.166666667,20150114,용산구
3.758333333,20150115,용산구
-0.529166667,20150116,용산구
-2.4875,20150117,용산구
1.129166667,20150118,용산구
-0.604166667,20150119,용산구
1.133333333,20150120,용산구
3.416666667,20150121,용산구
3.2,20150122,용산구
2.754166667,20150123,용산구
4.3,20150124,용산구
3.979166667,20150125,용산구
2.229166667,20150126,용산구
-4.183333333,20150127,용산구
-2.0,20150128,용산구
-0.145833333,20150129,용산구
-3.308333333,20150130,용산구
-3.316666667,20150131,용산구
-6.420833332999999,20150101,성동구
-4.741666667,20150102,성동구
0.15,20150103,성동구
2.320833333,20150104,성동구
4.208333333,20150105,성동구
-3.754166667,20150106,성동구
-4.120833333,20150107,성동구
-3.3375,20150108,성동구
-0.7041666670000001,20150109,성동구
2.1583333330000003,20150110,성동구
-1.108333333,20150111,성동구
-1.270833333,20150112,성동구
1.858333333,20150113,성동구
3.425,20150114,성동구
4.083333333,20150115,성동구
-0.4375,20150116,성동구
-2.5,20150117,성동구
0.925,20150118,성동구
-0.808333333,20150119,성동구
0.895833333,20150120,성동구
3.616666667,20150121,성동구
3.1583333330000003,20150122,성동구
2.5291666669999997,20150123,성동구
3.958333333,20150124,성동구
3.879166667,20150125,성동구
2.554166667,20150126,성동구
-3.5875,20150127,성동구
