기간,자치구,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,30년 이상,30년 이상,30년 이상,30년 이상,30년 이상,30년 이상
2015,서울시,"799,927","146,537","418,161","45,636","176,350","13,243","373,416","155,798","163,553","29,448","16,119","8,498"
2015,종로구,"9,275","2,428","2,108","2,517","1,957",265,"11,346","8,758","1,199",652,409,328
2015,중구,"4,861","1,626","1,047",636,"1,310",242,"6,427","3,982","1,795",254,112,284
2015,용산구,"11,513","4,447","1,848","1,034","3,986",198,"20,265","9,096","8,679",801,"1,360",329
2015,성동구,"17,760","5,332","8,471",539,"2,958",460,"7,957","4,816","1,515","1,054",173,399
2015,광진구,"21,987","8,399","7,530","1,301","3,984",773,"8,582","4,855","1,851","1,412",91,373
2015,동대문구,"16,198","7,186","4,722",528,"3,186",576,"17,287","11,236","2,347","2,053",968,683
2015,중랑구,"29,229","11,480","11,433","1,886","3,611",819,"10,150","7,006",400,"1,994",341,409
2015,성북구,"19,880","8,108","2,058","2,388","6,790",536,"20,081","16,130","1,509","1,624",316,502
2015,강북구,"32,478","7,558","9,567","1,689","13,153",511,"11,359","9,590",30,944,418,377
2015,도봉구,"52,403","4,166","37,348","1,882","8,609",398,"4,859","3,792",104,673,126,164
2015,노원구,"111,283","2,376","102,905","1,077","4,567",358,"8,037","4,464","2,658",429,351,135
2015,은평구,"38,195","7,840","5,540","3,391","20,759",665,"11,641","8,550",156,"1,218","1,319",398
2015,서대문구,"22,159","5,103","6,866","1,895","7,938",357,"13,855","8,609","2,168","1,372","1,310",396
2015,마포구,"25,337","5,210","8,190","1,163","10,094",680,"11,952","6,468",637,"1,550","2,928",369
2015,양천구,"55,289","5,225","34,037","1,323","14,278",426,"8,343","3,361","2,392","2,157",133,300
2015,강서구,"63,084","5,576","45,227","1,714","10,003",564,"6,835","3,740",854,"1,794",134,313
2015,구로구,"29,318","6,360","14,276","3,217","5,165",300,"11,349","4,955","2,261","2,401","1,388",344
2015,금천구,"13,120","4,893","4,208","1,445","2,421",153,"9,085","3,963","2,659","1,461",778,224
2015,영등포구,"21,502","8,540","10,202",446,"1,898",416,"22,018","6,953","13,484",638,451,492
2015,동작구,"35,301","7,163","17,281","2,077","8,416",364,"10,045","7,532",709,944,462,398
2015,관악구,"34,106","9,510","7,839","2,680","13,505",572,"14,332","8,655","2,788","1,007","1,430",452
2015,서초구,"25,578","2,206","13,856","2,992","5,782",742,"27,208","2,741","23,096",919,248,204
2015,강남구,"39,393","3,094","28,384","2,178","4,772",965,"47,614","1,261","44,619","1,269",333,132
2015,송파구,"48,494","5,797","25,834","3,499","12,121","1,243","24,835","2,640","21,490",239,257,209
2015,강동구,"22,184","6,914","7,384","2,139","5,087",660,"27,954","2,645","24,153",589,283,284
