습도,날짜,자치구
47.66666667,20150101,종로구
45.79166667,20150102,종로구
59.58333333,20150103,종로구
77.83333333,20150104,종로구
72.0,20150105,종로구
38.41666667,20150106,종로구
37.875,20150107,종로구
49.20833333,20150108,종로구
54.08333333,20150109,종로구
64.0,20150110,종로구
47.58333333,20150111,종로구
40.83333333,20150112,종로구
37.91666667,20150113,종로구
41.33333333,20150114,종로구
62.70833333,20150115,종로구
66.41666667,20150116,종로구
43.16666667,20150117,종로구
77.75,20150118,종로구
64.83333333,20150119,종로구
53.20833333,20150120,종로구
60.20833333,20150121,종로구
62.66666667,20150122,종로구
63.91666667,20150123,종로구
64.79166667,20150124,종로구
86.0,20150125,종로구
79.08333333,20150126,종로구
50.20833333,20150127,종로구
51.5,20150128,종로구
56.70833333,20150129,종로구
49.75,20150130,종로구
47.20833333,20150131,종로구
47.66666667,20150101,중구
45.79166667,20150102,중구
59.58333333,20150103,중구
77.83333333,20150104,중구
72.0,20150105,중구
38.41666667,20150106,중구
37.875,20150107,중구
49.20833333,20150108,중구
54.08333333,20150109,중구
64.0,20150110,중구
47.58333333,20150111,중구
40.83333333,20150112,중구
37.91666667,20150113,중구
41.33333333,20150114,중구
62.70833333,20150115,중구
66.41666667,20150116,중구
43.16666667,20150117,중구
77.75,20150118,중구
64.83333333,20150119,중구
53.20833333,20150120,중구
60.20833333,20150121,중구
62.66666667,20150122,중구
63.91666667,20150123,중구
64.79166667,20150124,중구
86.0,20150125,중구
79.08333333,20150126,중구
50.20833333,20150127,중구
51.5,20150128,중구
56.70833333,20150129,중구
49.75,20150130,중구
47.20833333,20150131,중구
48.95833333,20150101,용산구
47.41666667,20150102,용산구
61.08333333,20150103,용산구
77.33333333,20150104,용산구
72.58333333,20150105,용산구
39.66666667,20150106,용산구
40.54166667,20150107,용산구
50.70833333,20150108,용산구
57.0,20150109,용산구
65.08333333,20150110,용산구
47.58333333,20150111,용산구
45.58333333,20150112,용산구
43.16666667,20150113,용산구
46.16666667,20150114,용산구
64.5,20150115,용산구
67.625,20150116,용산구
46.91666667,20150117,용산구
75.79166667,20150118,용산구
64.29166667,20150119,용산구
57.5,20150120,용산구
65.29166667,20150121,용산구
66.41666667,20150122,용산구
67.08333333,20150123,용산구
66.91666667,20150124,용산구
83.70833333,20150125,용산구
78.04166667,20150126,용산구
50.125,20150127,용산구
55.33333333,20150128,용산구
61.08333333,20150129,용산구
50.16666667,20150130,용산구
48.375,20150131,용산구
50.875,20150101,성동구
48.95833333,20150102,성동구
63.16666667,20150103,성동구
80.66666667,20150104,성동구
75.54166667,20150105,성동구
40.54166667,20150106,성동구
41.375,20150107,성동구
52.125,20150108,성동구
58.16666667,20150109,성동구
66.95833333,20150110,성동구
50.0,20150111,성동구
46.91666667,20150112,성동구
45.04166667,20150113,성동구
46.66666667,20150114,성동구
65.95833333,20150115,성동구
68.45833333,20150116,성동구
47.08333333,20150117,성동구
78.41666667,20150118,성동구
66.66666667,20150119,성동구
61.41666667,20150120,성동구
64.625,20150121,성동구
67.79166667,20150122,성동구
69.66666667,20150123,성동구
69.41666667,20150124,성동구
88.20833333,20150125,성동구
81.875,20150126,성동구
52.04166667,20150127,성동구
58.95833333,20150128,성동구
60.16666667,20150129,성동구
52.75,20150130,성동구
49.83333333,20150131,성동구
44.58333333,20150101,광진구
43.04166667,20150102,광진구
57.0,20150103,광진구
73.20833333,20150104,광진구
69.54166667,20150105,광진구
35.58333333,20150106,광진구
33.625,20150107,광진구
46.5,20150108,광진구
52.125,20150109,광진구
61.45833333,20150110,광진구
43.5,20150111,광진구
40.95833333,20150112,광진구
39.29166667,20150113,광진구
38.54166667,20150114,광진구
59.625,20150115,광진구
63.0,20150116,광진구
45.16666667,20150117,광진구
73.29166667,20150118,광진구
