자치구,화재건수,인명피해,재산피해,날짜
강남구,3,0,1905,20150102
강동구,1,0,1294,20150102
강북구,0,0,0,20150102
강서구,1,0,385,20150102
관악구,0,0,0,20150102
광진구,0,0,0,20150102
구로구,0,0,0,20150102
금천구,0,0,0,20150102
노원구,0,0,0,20150102
도봉구,1,0,326,20150102
동대문구,0,0,0,20150102
동작구,0,0,0,20150102
마포구,1,0,92,20150102
서대문구,1,0,328,20150102
서초구,0,0,0,20150102
성동구,0,0,0,20150102
성북구,0,0,0,20150102
송파구,1,0,11524,20150102
양천구,0,0,0,20150102
영등포구,3,0,577,20150102
용산구,2,0,30811,20150102
은평구,0,0,0,20150102
종로구,0,0,0,20150102
중구,1,0,305,20150102
중랑구,1,0,55,20150102
강남구,1,0,3910,20150103
강동구,0,0,0,20150103
강북구,1,0,251,20150103
강서구,1,0,440,20150103
관악구,1,0,1210,20150103
광진구,0,0,0,20150103
구로구,0,0,0,20150103
금천구,0,0,0,20150103
노원구,2,0,171,20150103
도봉구,2,0,149,20150103
동대문구,1,0,58,20150103
동작구,1,0,96,20150103
마포구,2,0,447,20150103
서대문구,1,0,0,20150103
서초구,1,0,1,20150103
성동구,2,0,106,20150103
성북구,1,0,1,20150103
송파구,0,0,0,20150103
양천구,1,0,295,20150103
영등포구,2,2,7300,20150103
용산구,1,0,77,20150103
은평구,0,0,0,20150103
종로구,0,0,0,20150103
중구,0,0,0,20150103
중랑구,0,0,0,20150103
강남구,2,0,1564,20150104
강동구,0,0,0,20150104
강북구,1,0,416,20150104
강서구,0,0,0,20150104
관악구,1,0,20,20150104
광진구,0,0,0,20150104
구로구,0,0,0,20150104
금천구,0,0,0,20150104
노원구,1,0,1805,20150104
도봉구,0,0,0,20150104
동대문구,1,0,88,20150104
동작구,0,0,0,20150104
마포구,1,0,100,20150104
서대문구,0,0,0,20150104
서초구,0,0,0,20150104
성동구,0,0,0,20150104
성북구,0,0,0,20150104
송파구,0,0,0,20150104
양천구,1,0,15013,20150104
영등포구,0,0,0,20150104
용산구,0,0,0,20150104
은평구,0,0,0,20150104
종로구,0,0,0,20150104
중구,3,0,2611,20150104
중랑구,1,0,70,20150104
강남구,0,0,0,20150105
강동구,1,0,363,20150105
강북구,0,0,0,20150105
강서구,0,0,0,20150105
관악구,1,0,110,20150105
광진구,1,0,3080,20150105
구로구,0,0,0,20150105
금천구,0,0,0,20150105
노원구,1,0,615,20150105
도봉구,0,0,0,20150105
동대문구,0,0,0,20150105
동작구,0,0,0,20150105
마포구,0,0,0,20150105
서대문구,0,0,0,20150105
서초구,0,0,0,20150105
성동구,1,0,1450,20150105
성북구,1,1,1300,20150105
송파구,0,0,0,20150105
양천구,0,0,0,20150105
영등포구,0,0,0,20150105
용산구,0,0,0,20150105
은평구,0,0,0,20150105
종로구,0,0,0,20150105
중구,0,0,0,20150105
중랑구,0,0,0,20150105
강남구,1,0,11,20150106
강동구,1,0,203,20150106
강북구,2,0,2275,20150106
강서구,1,0,56,20150106
관악구,1,0,717,20150106
광진구,0,0,0,20150106
구로구,0,0,0,20150106
금천구,0,0,0,20150106
노원구,1,0,30,20150106
도봉구,0,0,0,20150106
동대문구,0,0,0,20150106
동작구,0,0,0,20150106
마포구,0,0,0,20150106
