,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  484 ,  18 ,  48 ,  19 ,  70 ,  274 ,  42 ,  11 ,  2 
서울특별시,강남구,논현동,"  1,881 ",  232 ,  300 ,  129 ,  216 ,  462 ,  265 ,  274 ,  3 
서울특별시,강남구,대치동,  847 ,  95 ,  160 ,  81 ,  126 ,  203 ,  85 ,  95 ,  2 
서울특별시,강남구,도곡동,  481 ,  34 ,  62 ,  44 ,  92 ,  180 ,  35 ,  34 ,  - 
서울특별시,강남구,삼성동,  942 ,  111 ,  158 ,  70 ,  145 ,  227 ,  122 ,  103 ,  6 
서울특별시,강남구,세곡동,  53 ,  27 ,  3 ,  3 ,  4 ,  2 ,  2 ,  11 ,  1 
서울특별시,강남구,수서동,  88 ,  10 ,  10 ,  12 ,  31 ,  13 ,  10 ,  2 ,  - 
서울특별시,강남구,신사동,"  1,530 ",  140 ,  266 ,  146 ,  214 ,  354 ,  201 ,  209 ,  - 
서울특별시,강남구,압구정동,  25 ,  1 ,  - ,  - ,  2 ,  - ,  4 ,  18 ,  - 
서울특별시,강남구,역삼동,"  2,143 ",  292 ,  366 ,  183 ,  287 ,  589 ,  247 ,  175 ,  4 
서울특별시,강남구,율현동,  18 ,  9 ,  3 ,  3 ,  - ,  2 ,  - ,  1 ,  - 
서울특별시,강남구,일원동,  146 ,  5 ,  6 ,  2 ,  20 ,  74 ,  37 ,  1 ,  1 
서울특별시,강남구,자곡동,  43 ,  25 ,  4 ,  5 ,  1 ,  1 ,  2 ,  4 ,  1 
서울특별시,강남구,청담동,  890 ,  142 ,  158 ,  92 ,  109 ,  176 ,  92 ,  116 ,  5 
서울특별시,강동구,강일동,  53 ,  42 ,  2 ,  1 ,  6 ,  - ,  1 ,  1 ,  - 
서울특별시,강동구,고덕동,  97 ,  7 ,  3 ,  4 ,  8 ,  40 ,  33 ,  2 ,  - 
서울특별시,강동구,길동,  400 ,  33 ,  40 ,  28 ,  64 ,  92 ,  94 ,  48 ,  1 
서울특별시,강동구,둔촌동,  229 ,  37 ,  15 ,  25 ,  37 ,  48 ,  41 ,  26 ,  - 
서울특별시,강동구,명일동,  249 ,  14 ,  19 ,  8 ,  45 ,  54 ,  76 ,  33 ,  - 
서울특별시,강동구,상일동,  115 ,  11 ,  15 ,  6 ,  8 ,  35 ,  35 ,  4 ,  1 
서울특별시,강동구,성내동,  776 ,  45 ,  90 ,  45 ,  90 ,  164 ,  177 ,  157 ,  8 
서울특별시,강동구,암사동,  393 ,  31 ,  32 ,  26 ,  30 ,  83 ,  73 ,  112 ,  6 
서울특별시,강동구,천호동,"  1,015 ",  47 ,  67 ,  49 ,  117 ,  141 ,  144 ,  422 ,  28 
서울특별시,강북구,미아동,"  1,456 ",  97 ,  73 ,  69 ,  169 ,  236 ,  231 ,  579 ,  2 
서울특별시,강북구,번동,  476 ,  60 ,  49 ,  38 ,  86 ,  111 ,  43 ,  89 ,  - 
서울특별시,강북구,수유동,"  1,523 ",  121 ,  96 ,  62 ,  184 ,  273 ,  272 ,  514 ,  1 
서울특별시,강북구,우이동,  188 ,  26 ,  17 ,  15 ,  8 ,  14 ,  28 ,  76 ,  4 
서울특별시,강서구,가양동,  187 ,  24 ,  20 ,  29 ,  57 ,  18 ,  10 ,  27 ,  2 
서울특별시,강서구,개화동,  73 ,  42 ,  13 ,  1 ,  1 ,  1 ,  10 ,  4 ,  1 
서울특별시,강서구,공항동,  401 ,  37 ,  43 ,  47 ,  43 ,  42 ,  36 ,  122 ,  31 
서울특별시,강서구,과해동,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  - 
서울특별시,강서구,내발산동,  214 ,  29 ,  36 ,  22 ,  36 ,  28 ,  31 ,  32 ,  - 
서울특별시,강서구,등촌동,  526 ,  84 ,  65 ,  66 ,  127 ,  47 ,  40 ,  89 ,  8 
서울특별시,강서구,마곡동,  143 ,  69 ,  17 ,  29 ,  10 ,  6 ,  7 ,  4 ,  1 
서울특별시,강서구,방화동,  761 ,  67 ,  99 ,  39 ,  169 ,  92 ,  82 ,  180 ,  33 
서울특별시,강서구,염창동,  270 ,  26 ,  38 ,  30 ,  39 ,  29 ,  34 ,  74 ,  - 
서울특별시,강서구,오곡동,  47 ,  28 ,  8 ,  - ,  3 ,  2 ,  2 ,  3 ,  1 
서울특별시,강서구,오쇠동,  20 ,  5 ,  7 ,  - ,  5 ,  2 ,  - ,  1 ,  - 
서울특별시,강서구,외발산동,  82 ,  26 ,  28 ,  15 ,  5 ,  5 ,  - ,  3 ,  - 
서울특별시,강서구,화곡동,"  2,007 ",  169 ,  191 ,  147 ,  382 ,  385 ,  242 ,  484 ,  7 
서울특별시,관악구,남현동,  176 ,  21 ,  22 ,  27 ,  25 ,  42 ,  22 ,  16 ,  1 
서울특별시,관악구,봉천동,"  2,331 ",  313 ,  307 ,  314 ,  208 ,  275 ,  275 ,  626 ,  13 
서울특별시,관악구,신림동,"  3,460 ",  604 ,  431 ,  476 ,  466 ,  475 ,  402 ,  602 ,  4 
서울특별시,광진구,광장동,  186 ,  17 ,  18 ,  20 ,  32 ,  31 ,  16 ,  52 ,  - 
서울특별시,광진구,구의동,  651 ,  36 ,  49 ,  27 ,  126 ,  121 ,  89 ,  199 ,  4 
서울특별시,광진구,군자동,  271 ,  40 ,  25 ,  11 ,  20 ,  48 ,  39 ,  88 ,  - 
서울특별시,광진구,능동,  153 ,  24 ,  17 ,  6 ,  17 ,  20 ,  12 ,  48 ,  9 
서울특별시,광진구,자양동,  902 ,  36 ,  34 ,  35 ,  124 ,  217 ,  200 ,  252 ,  4 
서울특별시,광진구,중곡동,"  1,023 ",  67 ,  53 ,  32 ,  132 ,  282 ,  191 ,  265 ,  1 
서울특별시,광진구,화양동,  534 ,  83 ,  23 ,  20 ,  65 ,  92 ,  93 ,  156 ,  2 
서울특별시,구로구,가리봉동,  216 ,  12 ,  4 ,  5 ,  10 ,  30 ,  29 ,  126 ,  - 
서울특별시,구로구,개봉동,  629 ,  23 ,  45 ,  48 ,  110 ,  80 ,  98 ,  215 ,  10 
