,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,"  1,171 ",  95 ,  62 ,  81 ,  175 ,  372 ,  148 ,  184 ,  54 
서울특별시,강남구,논현동,"  2,486 ",  228 ,  282 ,  541 ,  701 ,  342 ,  157 ,  233 ,  2 
서울특별시,강남구,대치동,"  1,457 ",  115 ,  229 ,  301 ,  362 ,  101 ,  228 ,  109 ,  12 
서울특별시,강남구,도곡동,  525 ,  40 ,  91 ,  66 ,  105 ,  95 ,  62 ,  65 ,  1 
서울특별시,강남구,삼성동,"  1,282 ",  111 ,  194 ,  270 ,  259 ,  150 ,  187 ,  93 ,  18 
서울특별시,강남구,세곡동,  295 ,  141 ,  16 ,  6 ,  7 ,  - ,  51 ,  74 ,  - 
서울특별시,강남구,수서동,  152 ,  32 ,  2 ,  2 ,  40 ,  60 ,  6 ,  2 ,  8 
서울특별시,강남구,신사동,  774 ,  33 ,  74 ,  142 ,  301 ,  53 ,  53 ,  115 ,  3 
서울특별시,강남구,압구정동,  177 ,  2 ,  - ,  1 ,  4 ,  - ,  27 ,  115 ,  28 
서울특별시,강남구,역삼동,"  2,597 ",  276 ,  347 ,  746 ,  680 ,  246 ,  147 ,  154 ,  1 
서울특별시,강남구,율현동,  277 ,  100 ,  5 ,  3 ,  5 ,  103 ,  35 ,  9 ,  17 
서울특별시,강남구,일원동,  999 ,  5 ,  19 ,  12 ,  178 ,  131 ,  609 ,  4 ,  41 
서울특별시,강남구,자곡동,  321 ,  140 ,  14 ,  5 ,  8 ,  106 ,  27 ,  9 ,  12 
서울특별시,강남구,청담동,  828 ,  69 ,  92 ,  111 ,  207 ,  135 ,  71 ,  104 ,  39 
서울특별시,강동구,강일동,  185 ,  130 ,  2 ,  - ,  4 ,  - ,  5 ,  11 ,  33 
서울특별시,강동구,고덕동,"  1,102 ",  17 ,  1 ,  12 ,  28 ,  388 ,  639 ,  4 ,  13 
서울특별시,강동구,길동,"  1,557 ",  235 ,  180 ,  132 ,  331 ,  331 ,  216 ,  116 ,  16 
서울특별시,강동구,둔촌동,"  1,143 ",  157 ,  78 ,  76 ,  113 ,  281 ,  153 ,  234 ,  51 
서울특별시,강동구,명일동,  660 ,  46 ,  45 ,  50 ,  91 ,  145 ,  243 ,  34 ,  6 
서울특별시,강동구,상일동,  626 ,  78 ,  3 ,  8 ,  12 ,  172 ,  320 ,  16 ,  17 
서울특별시,강동구,성내동,"  3,310 ",  390 ,  403 ,  321 ,  594 ,  790 ,  420 ,  349 ,  43 
서울특별시,강동구,암사동,"  2,669 ",  547 ,  230 ,  179 ,  299 ,  605 ,  441 ,  262 ,  106 
서울특별시,강동구,천호동,"  5,238 ",  450 ,  271 ,  298 ,  838 ,"  1,730 ",  715 ,  816 ,  120 
서울특별시,강북구,미아동,"  10,667 ",  678 ,  466 ,  478 ,"  2,340 ","  1,804 ",  956 ,"  3,935 ",  10 
서울특별시,강북구,번동,"  2,770 ",  153 ,  71 ,  161 ,  852 ,  819 ,  143 ,  564 ,  7 
서울특별시,강북구,수유동,"  8,863 ","  1,034 ",  353 ,  543 ,"  1,818 ","  1,629 ",  823 ,"  2,656 ",  7 
서울특별시,강북구,우이동,  907 ,  71 ,  39 ,  69 ,  159 ,  102 ,  62 ,  400 ,  5 
서울특별시,강서구,가양동,  303 ,  25 ,  19 ,  40 ,  51 ,  111 ,  16 ,  24 ,  17 
서울특별시,강서구,개화동,  389 ,  25 ,  12 ,  6 ,  4 ,  3 ,  159 ,  177 ,  3 
서울특별시,강서구,공항동,"  1,829 ",  185 ,  135 ,  303 ,  240 ,  332 ,  170 ,  417 ,  47 
서울특별시,강서구,과해동,  20 ,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  17 
서울특별시,강서구,내발산동,  995 ,  191 ,  200 ,  147 ,  103 ,  138 ,  86 ,  105 ,  25 
서울특별시,강서구,등촌동,"  1,459 ",  227 ,  135 ,  168 ,  300 ,  276 ,  101 ,  240 ,  12 
서울특별시,강서구,마곡동,  219 ,  133 ,  9 ,  14 ,  13 ,  3 ,  16 ,  13 ,  18 
서울특별시,강서구,방화동,"  2,704 ",  196 ,  152 ,  338 ,  506 ,  553 ,  209 ,  681 ,  69 
서울특별시,강서구,염창동,  442 ,  56 ,  69 ,  68 ,  67 ,  46 ,  21 ,  91 ,  24 
서울특별시,강서구,오곡동,  41 ,  - ,  - ,  - ,  1 ,  - ,  2 ,  - ,  38 
서울특별시,강서구,오쇠동,  28 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  28 
서울특별시,강서구,외발산동,  67 ,  5 ,  1 ,  17 ,  7 ,  3 ,  6 ,  21 ,  7 
서울특별시,강서구,화곡동,"  11,222 ","  1,740 ",  714 ,"  2,068 ","  1,920 ","  2,560 ",  872 ,"  1,308 ",  40 
서울특별시,관악구,남현동,  792 ,  173 ,  89 ,  73 ,  195 ,  119 ,  76 ,  64 ,  3 
서울특별시,관악구,봉천동,"  10,287 ","  1,125 ",  892 ,  709 ,"  2,060 ","  2,017 ",  907 ,"  2,532 ",  45 
서울특별시,관악구,신림동,"  14,263 ","  1,521 ",  692 ,  768 ,"  3,247 ","  4,162 ","  1,342 ","  2,489 ",  42 
서울특별시,광진구,광장동,  485 ,  43 ,  39 ,  47 ,  62 ,  73 ,  53 ,  152 ,  16 
서울특별시,광진구,구의동,"  3,946 ",  585 ,  295 ,  385 ,  959 ,  740 ,  220 ,  748 ,  14 
서울특별시,광진구,군자동,"  1,716 ",  190 ,  76 ,  126 ,  369 ,  452 ,  128 ,  374 ,  1 
서울특별시,광진구,능동,"  1,023 ",  230 ,  64 ,  105 ,  184 ,  161 ,  40 ,  232 ,  7 
서울특별시,광진구,자양동,"  5,518 ",  540 ,  260 ,  323 ,"  1,124 ","  1,431 ",  609 ,"  1,229 ",  2 
서울특별시,광진구,중곡동,"  6,683 ",  969 ,  405 ,  576 ,"  1,434 ","  1,617 ",  443 ,"  1,214 ",  25 
