기온,날짜,자치구
3.045833333,20160101,종로구
6.9625,20160102,종로구
5.983333332999999,20160103,종로구
0.0875,20160104,종로구
-2.25,20160105,종로구
-1.5625,20160106,종로구
-2.9041666669999997,20160107,종로구
-2.233333333,20160108,종로구
0.120833333,20160109,종로구
-0.979166667,20160110,종로구
-4.258333333,20160111,종로구
-4.675,20160112,종로구
-4.2625,20160113,종로구
-1.7125,20160114,종로구
0.3125,20160115,종로구
0.8,20160116,종로구
1.591666667,20160117,종로구
-10.08333333,20160118,종로구
-12.54583333,20160119,종로구
-8.770833332999999,20160120,종로구
-6.933333332999999,20160121,종로구
-7.15,20160122,종로구
-13.51250004,20160123,종로구
-13.16666667,20160124,종로구
-7.1625,20160125,종로구
-1.3375,20160126,종로구
-1.025,20160127,종로구
0.979166667,20160128,종로구
1.85,20160129,종로구
0.2125,20160130,종로구
-4.416666667,20160131,종로구
3.045833333,20160101,중구
6.9625,20160102,중구
5.983333332999999,20160103,중구
0.0875,20160104,중구
-2.25,20160105,중구
-1.5625,20160106,중구
-2.9041666669999997,20160107,중구
-2.233333333,20160108,중구
0.120833333,20160109,중구
-0.979166667,20160110,중구
-4.258333333,20160111,중구
-4.675,20160112,중구
-4.2625,20160113,중구
-1.7125,20160114,중구
0.3125,20160115,중구
0.8,20160116,중구
1.591666667,20160117,중구
-10.08333333,20160118,중구
-12.54583333,20160119,중구
-8.770833332999999,20160120,중구
-6.933333332999999,20160121,중구
-7.15,20160122,중구
-13.51250004,20160123,중구
-13.16666667,20160124,중구
-7.1625,20160125,중구
-1.3375,20160126,중구
-1.025,20160127,중구
0.979166667,20160128,중구
1.85,20160129,중구
0.2125,20160130,중구
-4.416666667,20160131,중구
3.5875,20160101,용산구
7.1625,20160102,용산구
6.370833332999999,20160103,용산구
0.775,20160104,용산구
-1.5541666669999998,20160105,용산구
-0.9125,20160106,용산구
-2.4083333330000003,20160107,용산구
-1.5833333330000001,20160108,용산구
0.42916666700000006,20160109,용산구
-0.47916666700000005,20160110,용산구
-3.745833333,20160111,용산구
-3.979166667,20160112,용산구
-3.55,20160113,용산구
-1.158333333,20160114,용산구
0.7041666670000001,20160115,용산구
1.0,20160116,용산구
2.170833333,20160117,용산구
-9.245833333,20160118,용산구
-11.57916667,20160119,용산구
-8.2375,20160120,용산구
-6.270833333,20160121,용산구
-6.479166667,20160122,용산구
-12.72083333,20160123,용산구
-12.37916671,20160124,용산구
-6.466666667,20160125,용산구
-1.125,20160126,용산구
-0.9125,20160127,용산구
1.4333333330000002,20160128,용산구
2.370833333,20160129,용산구
0.575,20160130,용산구
-3.9041666669999997,20160131,용산구
3.2166666669999997,20160101,성동구
7.045833332999999,20160102,성동구
6.4375,20160103,성동구
0.916666667,20160104,성동구
-1.6833333330000002,20160105,성동구
-1.125,20160106,성동구
-2.4625,20160107,성동구
-1.8125,20160108,성동구
0.38333333299999994,20160109,성동구
-0.26666666699999997,20160110,성동구
-3.475,20160111,성동구
-3.991666667,20160112,성동구
-3.7125,20160113,성동구
-1.4125,20160114,성동구
0.233333333,20160115,성동구
0.525,20160116,성동구
1.966666667,20160117,성동구
-9.2625,20160118,성동구
-11.71666667,20160119,성동구
-8.3375,20160120,성동구
-6.375,20160121,성동구
-6.3875,20160122,성동구
-12.71250004,20160123,성동구
-12.55000004,20160124,성동구
-6.7875,20160125,성동구
-1.1875,20160126,성동구
-0.841666667,20160127,성동구
1.233333333,20160128,성동구
2.258333333,20160129,성동구
0.6166666670000001,20160130,성동구
-3.745833333,20160131,성동구
3.95,20160101,광진구
7.770833333,20160102,광진구
7.2375,20160103,광진구
1.591666667,20160104,광진구
-0.654166667,20160105,광진구
-0.1,20160106,광진구
-1.320833333,20160107,광진구
-0.5708333329999999,20160108,광진구
1.316666667,20160109,광진구
0.675,20160110,광진구
-2.429166667,20160111,광진구
-3.208333333,20160112,광진구
-2.854166667,20160113,광진구
-0.625,20160114,광진구
1.245833333,20160115,광진구
0.916666667,20160116,광진구
2.333333333,20160117,광진구
-8.545833333,20160118,광진구
-11.0125,20160119,광진구
-7.5125,20160120,광진구
-5.458333333,20160121,광진구
-5.933333332999999,20160122,광진구
-12.14583329,20160123,광진구
-12.05416663,20160124,광진구
-5.654166667,20160125,광진구
-0.179166667,20160126,광진구
0.39583333299999995,20160127,광진구
2.179166667,20160128,광진구
3.0125,20160129,광진구
1.5041666669999998,20160130,광진구
-3.045833333,20160131,광진구
3.2166666669999997,20160101,동대문구
7.045833332999999,20160102,동대문구
6.4375,20160103,동대문구
0.916666667,20160104,동대문구
-1.6833333330000002,20160105,동대문구
-1.125,20160106,동대문구
-2.4625,20160107,동대문구
-1.8125,20160108,동대문구
0.38333333299999994,20160109,동대문구
-0.26666666699999997,20160110,동대문구
-3.475,20160111,동대문구
-3.991666667,20160112,동대문구
-3.7125,20160113,동대문구
-1.4125,20160114,동대문구
0.233333333,20160115,동대문구
0.525,20160116,동대문구
1.966666667,20160117,동대문구
-9.2625,20160118,동대문구
-11.71666667,20160119,동대문구
-8.3375,20160120,동대문구
-6.375,20160121,동대문구
-6.3875,20160122,동대문구
-12.71250004,20160123,동대문구
-12.55000004,20160124,동대문구
-6.7875,20160125,동대문구
-1.1875,20160126,동대문구
-0.841666667,20160127,동대문구
1.233333333,20160128,동대문구
2.258333333,20160129,동대문구
0.6166666670000001,20160130,동대문구
-3.745833333,20160131,동대문구
3.2,20160101,중랑구
6.8625,20160102,중랑구
6.729166667,20160103,중랑구
1.3875,20160104,중랑구
-1.516666667,20160105,중랑구
-0.9541666670000001,20160106,중랑구
-2.304166667,20160107,중랑구
-1.625,20160108,중랑구
0.675,20160109,중랑구
0.2625,20160110,중랑구
-2.8375,20160111,중랑구
-3.679166667,20160112,중랑구
-3.4625,20160113,중랑구
-1.3666666669999998,20160114,중랑구
-0.1,20160115,중랑구
0.291666667,20160116,중랑구
1.954166667,20160117,중랑구
-8.595833333,20160118,중랑구
-11.12083333,20160119,중랑구
-8.079166667,20160120,중랑구
-6.1791666670000005,20160121,중랑구
-5.85,20160122,중랑구
-12.25416671,20160123,중랑구
-12.33750004,20160124,중랑구
-6.6375,20160125,중랑구
-0.966666667,20160126,중랑구
-0.504166667,20160127,중랑구
1.3625,20160128,중랑구
2.370833333,20160129,중랑구
0.9458333329999999,20160130,중랑구
-3.291666667,20160131,중랑구
3.045833333,20160101,성북구
6.9625,20160102,성북구
5.983333332999999,20160103,성북구
0.0875,20160104,성북구
-2.25,20160105,성북구
-1.5625,20160106,성북구
-2.9041666669999997,20160107,성북구
-2.233333333,20160108,성북구
0.120833333,20160109,성북구
-0.979166667,20160110,성북구
-4.258333333,20160111,성북구
-4.675,20160112,성북구
-4.2625,20160113,성북구
-1.7125,20160114,성북구
0.3125,20160115,성북구
0.8,20160116,성북구
1.591666667,20160117,성북구
-10.08333333,20160118,성북구
-12.54583333,20160119,성북구
-8.770833332999999,20160120,성북구
-6.933333332999999,20160121,성북구
-7.15,20160122,성북구
-13.51250004,20160123,성북구
-13.16666667,20160124,성북구
-7.1625,20160125,성북구
-1.3375,20160126,성북구
-1.025,20160127,성북구
0.979166667,20160128,성북구
1.85,20160129,성북구
0.2125,20160130,성북구
-4.416666667,20160131,성북구
2.4625,20160101,강북구
6.279166667,20160102,강북구
5.708333333,20160103,강북구
0.2125,20160104,강북구
-2.566666667,20160105,강북구
-2.066666667,20160106,강북구
-3.45,20160107,강북구
-3.008333333,20160108,강북구
-0.475,20160109,강북구
-0.966666667,20160110,강북구
-4.154166667,20160111,강북구
-4.833333333,20160112,강북구
-4.558333333,20160113,강북구
-2.3625,20160114,강북구
-0.8916666670000001,20160115,강북구
-0.47083333299999997,20160116,강북구
1.225,20160117,강북구
-9.8375,20160118,강북구
-12.37916667,20160119,강북구
-9.1125,20160120,강북구
-7.2375,20160121,강북구
-6.891666667000001,20160122,강북구
-13.24583338,20160123,강북구
-13.35416675,20160124,강북구
-7.754166667000001,20160125,강북구
-1.9125,20160126,강북구
-1.6916666669999998,20160127,강북구
0.3875,20160128,강북구
1.4125,20160129,강북구
-0.12916666699999999,20160130,강북구
-4.433333333,20160131,강북구
2.4625,20160101,도봉구
6.279166667,20160102,도봉구
5.708333333,20160103,도봉구
0.2125,20160104,도봉구
-2.566666667,20160105,도봉구
-2.066666667,20160106,도봉구
-3.45,20160107,도봉구
-3.008333333,20160108,도봉구
-0.475,20160109,도봉구
-0.966666667,20160110,도봉구
-4.154166667,20160111,도봉구
-4.833333333,20160112,도봉구
-4.558333333,20160113,도봉구
-2.3625,20160114,도봉구
-0.8916666670000001,20160115,도봉구
-0.47083333299999997,20160116,도봉구
1.225,20160117,도봉구
-9.8375,20160118,도봉구
-12.37916667,20160119,도봉구
-9.1125,20160120,도봉구
-7.2375,20160121,도봉구
-6.891666667000001,20160122,도봉구
-13.24583338,20160123,도봉구
-13.35416675,20160124,도봉구
-7.754166667000001,20160125,도봉구
-1.9125,20160126,도봉구
-1.6916666669999998,20160127,도봉구
0.3875,20160128,도봉구
1.4125,20160129,도봉구
-0.12916666699999999,20160130,도봉구
-4.433333333,20160131,도봉구
2.4625,20160101,노원구
6.279166667,20160102,노원구
5.708333333,20160103,노원구
0.2125,20160104,노원구
-2.566666667,20160105,노원구
-2.066666667,20160106,노원구
-3.45,20160107,노원구
-3.008333333,20160108,노원구
-0.475,20160109,노원구
-0.966666667,20160110,노원구
-4.154166667,20160111,노원구
-4.833333333,20160112,노원구
-4.558333333,20160113,노원구
-2.3625,20160114,노원구
-0.8916666670000001,20160115,노원구
-0.47083333299999997,20160116,노원구
1.225,20160117,노원구
-9.8375,20160118,노원구
-12.37916667,20160119,노원구
-9.1125,20160120,노원구
-7.2375,20160121,노원구
-6.891666667000001,20160122,노원구
-13.24583338,20160123,노원구
-13.35416675,20160124,노원구
-7.754166667000001,20160125,노원구
-1.9125,20160126,노원구
-1.6916666669999998,20160127,노원구
0.3875,20160128,노원구
1.4125,20160129,노원구
-0.12916666699999999,20160130,노원구
-4.433333333,20160131,노원구
3.425,20160101,은평구
6.904166667,20160102,은평구
5.775,20160103,은평구
-0.029166667,20160104,은평구
-2.3625,20160105,은평구
-1.8,20160106,은평구
-3.35,20160107,은평구
-2.5,20160108,은평구
-0.18333333300000001,20160109,은평구
-1.0125,20160110,은평구
-4.408333333,20160111,은평구
-4.891666667,20160112,은평구
-4.5,20160113,은평구
-2.004166667,20160114,은평구
0.1125,20160115,은평구
0.6708333329999999,20160116,은평구
1.6375,20160117,은평구
-9.745833333,20160118,은평구
-12.04583333,20160119,은평구
-8.875,20160120,은평구
-7.1791666670000005,20160121,은평구
-7.2416666670000005,20160122,은평구
-13.41250004,20160123,은평구
-12.93749992,20160124,은평구
-7.145833333,20160125,은평구
-1.3625,20160126,은평구
-1.283333333,20160127,은평구
0.870833333,20160128,은평구
1.6291666669999998,20160129,은평구
-0.308333333,20160130,은평구
-4.854166667,20160131,은평구
3.045833333,20160101,서대문구
6.9625,20160102,서대문구
5.983333332999999,20160103,서대문구
0.0875,20160104,서대문구
-2.25,20160105,서대문구
-1.5625,20160106,서대문구
-2.9041666669999997,20160107,서대문구
-2.233333333,20160108,서대문구
0.120833333,20160109,서대문구
-0.979166667,20160110,서대문구
-4.258333333,20160111,서대문구
-4.675,20160112,서대문구
-4.2625,20160113,서대문구
-1.7125,20160114,서대문구
0.3125,20160115,서대문구
0.8,20160116,서대문구
1.591666667,20160117,서대문구
-10.08333333,20160118,서대문구
-12.54583333,20160119,서대문구
-8.770833332999999,20160120,서대문구
-6.933333332999999,20160121,서대문구
-7.15,20160122,서대문구
-13.51250004,20160123,서대문구
-13.16666667,20160124,서대문구
-7.1625,20160125,서대문구
-1.3375,20160126,서대문구
-1.025,20160127,서대문구
0.979166667,20160128,서대문구
1.85,20160129,서대문구
0.2125,20160130,서대문구
-4.416666667,20160131,서대문구
3.804166667,20160101,마포구
7.275,20160102,마포구
6.2875,20160103,마포구
0.575,20160104,마포구
-1.7625,20160105,마포구
-1.083333333,20160106,마포구
-2.6625,20160107,마포구
-1.7375,20160108,마포구
0.370833333,20160109,마포구
-0.591666667,20160110,마포구
-3.929166667,20160111,마포구
-4.179166667,20160112,마포구
-3.758333333,20160113,마포구
-1.3,20160114,마포구
0.783333333,20160115,마포구
1.3,20160116,마포구
2.241666667,20160117,마포구
-9.266666667,20160118,마포구
-11.4375,20160119,마포구
-8.304166667,20160120,마포구
-6.5083333329999995,20160121,마포구
-6.708333333,20160122,마포구
-12.8125,20160123,마포구
-12.35833338,20160124,마포구
-6.404166667,20160125,마포구
-0.7666666670000001,20160126,마포구
-0.779166667,20160127,마포구
1.4125,20160128,마포구
2.25,20160129,마포구
0.283333333,20160130,마포구
-4.266666667,20160131,마포구
4.0875,20160101,양천구
7.425,20160102,양천구
6.345833333,20160103,양천구
0.7,20160104,양천구
-1.670833333,20160105,양천구
-0.995833333,20160106,양천구
-2.7125,20160107,양천구
-1.625,20160108,양천구
