기간,자치구,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,20년~30년미만,30년 이상,30년 이상,30년 이상,30년 이상,30년 이상,30년 이상
2016,서울시,"803,062","148,713","428,085","48,638","165,121","12,505","416,145","152,684","185,417","32,423","36,789","8,832"
2016,종로구,"10,569","2,546","2,278","2,476","2,992",277,"11,731","8,706","1,216",940,537,332
2016,중구,"4,988","1,696","1,047",767,"1,231",247,"6,611","3,973","1,797",260,288,293
2016,용산구,"11,375","4,541","1,847","1,145","3,662",180,"21,094","9,106","8,733",810,"2,102",343
2016,성동구,"17,710","5,428","8,396",507,"2,936",443,"11,097","4,903","4,082","1,155",539,418
2016,광진구,"26,122","8,640","11,530","1,365","3,861",726,"9,236","4,783","1,851","1,527",684,391
2016,동대문구,"16,453","7,293","5,041",560,"2,985",574,"17,188","11,110","2,347","1,738","1,297",696
2016,중랑구,"37,893","11,433","20,883","1,694","3,122",761,"10,884","6,683",401,"2,328","1,028",444
2016,성북구,"20,882","8,221","2,494","2,906","6,753",508,"19,561","15,250","1,559","1,479",759,514
2016,강북구,"33,158","7,809","9,670","1,802","13,394",483,"11,850","9,256",30,"1,193",983,388
2016,도봉구,"55,510","4,380","39,928","1,823","8,996",383,"7,305","3,748","1,658","1,040",670,189
2016,노원구,"110,819","2,587","101,740","1,560","4,603",329,"12,229","4,216","6,717",526,622,148
2016,은평구,"35,869","7,688","5,775","3,513","18,260",633,"14,068","8,082",157,"1,340","4,077",412
2016,서대문구,"23,214","5,058","8,843","2,072","6,903",338,"14,830","8,400","1,889","1,486","2,662",393
2016,마포구,"22,869","5,559","6,007","1,415","9,228",660,"16,134","6,042","4,347","1,421","3,952",372
2016,양천구,"46,082","5,215","26,190","1,484","12,795",398,"19,194","2,912","11,959","2,216","1,828",279
2016,강서구,"62,809","5,594","45,762","1,662","9,247",544,"8,341","3,695",802,"2,127","1,391",326
2016,구로구,"30,919","6,397","15,225","3,227","5,780",290,"13,861","5,051","3,931","2,777","1,735",367
2016,금천구,"13,397","4,672","4,632","1,617","2,329",147,"9,831","4,211","2,892","1,551",943,234
2016,영등포구,"20,589","8,379","9,845",301,"1,700",364,"25,528","7,162","16,446",733,674,513
2016,동작구,"35,734","7,013","18,550","2,305","7,512",354,"10,642","7,158",309,"1,129","1,654",392
2016,관악구,"36,475","9,839","9,892","3,157","13,033",554,"15,112","8,317","2,788","1,230","2,335",442
2016,서초구,"26,333","2,630","14,581","3,132","5,281",709,"28,285","2,694","23,133","1,107","1,140",211
2016,강남구,"38,753","3,656","27,524","2,398","4,246",929,"47,712","1,409","43,542","1,217","1,383",161
2016,송파구,"45,565","5,846","23,986","3,706","10,941","1,086","28,528","2,791","23,800",216,"1,462",259
2016,강동구,"18,975","6,593","6,419","2,044","3,331",588,"25,293","3,026","19,031",877,"2,044",315
