,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,논현동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,대치동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,도곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,삼성동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,세곡동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  1 
서울특별시,강남구,수서동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,신사동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,압구정동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,역삼동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,율현동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,일원동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,자곡동,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,청담동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,강일동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,고덕동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,길동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,둔촌동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강동구,명일동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,상일동,  2 ,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,성내동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,강동구,암사동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,강동구,천호동,  5 ,  - ,  - ,  - ,  - ,  1 ,  - ,  2 ,  2 
서울특별시,강북구,미아동,  8 ,  - ,  - ,  - ,  - ,  - ,  - ,  8 ,  - 
서울특별시,강북구,번동,  2 ,  - ,  - ,  - ,  - ,  2 ,  - ,  - ,  - 
서울특별시,강북구,수유동,  4 ,  - ,  - ,  - ,  - ,  - ,  1 ,  3 ,  - 
서울특별시,강북구,우이동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,가양동,  25 ,  3 ,  2 ,  2 ,  1 ,  2 ,  - ,  15 ,  - 
서울특별시,강서구,개화동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,공항동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,과해동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,내발산동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,등촌동,  28 ,  1 ,  - ,  7 ,  3 ,  - ,  2 ,  14 ,  1 
서울특별시,강서구,마곡동,  3 ,  - ,  - ,  - ,  1 ,  - ,  1 ,  1 ,  - 
서울특별시,강서구,방화동,  4 ,  - ,  3 ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,염창동,  21 ,  - ,  2 ,  4 ,  2 ,  1 ,  - ,  12 ,  - 
서울특별시,강서구,오곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,오쇠동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,외발산동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,화곡동,  3 ,  - ,  - ,  1 ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,관악구,남현동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,관악구,봉천동,  5 ,  1 ,  - ,  2 ,  - ,  2 ,  - ,  - ,  - 
서울특별시,관악구,신림동,  2 ,  - ,  1 ,  - ,  - ,  - ,  1 ,  - ,  - 
서울특별시,광진구,광장동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,구의동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,군자동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,능동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,광진구,자양동,  8 ,  - ,  - ,  - ,  - ,  1 ,  - ,  7 ,  - 
서울특별시,광진구,중곡동,  5 ,  - ,  - ,  - ,  1 ,  - ,  - ,  4 ,  - 
서울특별시,광진구,화양동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,구로구,가리봉동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,구로구,개봉동,  6 ,  - ,  - ,  - ,  - ,  - ,  1 ,  4 ,  1 
서울특별시,구로구,고척동,  23 ,  - ,  1 ,  - ,  1 ,  - ,  1 ,  16 ,  4 
서울특별시,구로구,구로동,  123 ,  13 ,  26 ,  21 ,  6 ,  2 ,  3 ,  39 ,  13 
서울특별시,구로구,궁동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,구로구,신도림동,  87 ,  1 ,  3 ,  1 ,  3 ,  2 ,  2 ,  73 ,  2 
