,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,강남구,논현동,  2 ,  - ,  - ,  - ,  1 ,  1 ,  - ,  - ,  - 
서울특별시,강남구,대치동,  2 ,  1 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강남구,도곡동,  4 ,  - ,  - ,  2 ,  - ,  - ,  - ,  2 ,  - 
서울특별시,강남구,삼성동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강남구,세곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,수서동,  2 ,  - ,  - ,  - ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,강남구,신사동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강남구,압구정동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강남구,역삼동,  2 ,  1 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강남구,율현동,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,일원동,  15 ,  6 ,  1 ,  2 ,  4 ,  - ,  2 ,  - ,  - 
서울특별시,강남구,자곡동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강남구,청담동,  4 ,  3 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강동구,강일동,  2 ,  - ,  - ,  - ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,강동구,고덕동,  12 ,  - ,  6 ,  3 ,  1 ,  - ,  1 ,  1 ,  - 
서울특별시,강동구,길동,  5 ,  - ,  - ,  - ,  - ,  - ,  5 ,  - ,  - 
서울특별시,강동구,둔촌동,  7 ,  - ,  - ,  1 ,  - ,  1 ,  2 ,  3 ,  - 
서울특별시,강동구,명일동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,상일동,  3 ,  1 ,  1 ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강동구,성내동,  8 ,  - ,  1 ,  - ,  1 ,  - ,  - ,  6 ,  - 
서울특별시,강동구,암사동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강동구,천호동,  8 ,  1 ,  - ,  1 ,  - ,  - ,  - ,  6 ,  - 
서울특별시,강북구,미아동,  13 ,  6 ,  - ,  4 ,  - ,  - ,  1 ,  2 ,  - 
서울특별시,강북구,번동,  5 ,  2 ,  1 ,  - ,  1 ,  1 ,  - ,  - ,  - 
서울특별시,강북구,수유동,  9 ,  - ,  1 ,  1 ,  3 ,  1 ,  1 ,  2 ,  - 
서울특별시,강북구,우이동,  3 ,  1 ,  - ,  2 ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,가양동,  23 ,  1 ,  2 ,  - ,  1 ,  1 ,  4 ,  14 ,  - 
서울특별시,강서구,개화동,  11 ,  3 ,  1 ,  1 ,  - ,  - ,  1 ,  5 ,  - 
서울특별시,강서구,공항동,  16 ,  - ,  4 ,  1 ,  - ,  1 ,  1 ,  2 ,  7 
서울특별시,강서구,과해동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,강서구,내발산동,  1 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - ,  - 
서울특별시,강서구,등촌동,  15 ,  2 ,  - ,  5 ,  4 ,  1 ,  1 ,  2 ,  - 
서울특별시,강서구,마곡동,  37 ,  5 ,  5 ,  5 ,  11 ,  - ,  10 ,  1 ,  - 
서울특별시,강서구,방화동,  38 ,  7 ,  2 ,  6 ,  8 ,  9 ,  - ,  4 ,  2 
서울특별시,강서구,염창동,  20 ,  1 ,  2 ,  3 ,  5 ,  1 ,  2 ,  6 ,  - 
서울특별시,강서구,오곡동,  4 ,  2 ,  - ,  2 ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,오쇠동,  7 ,  1 ,  - ,  - ,  5 ,  - ,  - ,  1 ,  - 
서울특별시,강서구,외발산동,  10 ,  2 ,  2 ,  5 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,화곡동,  8 ,  4 ,  - ,  2 ,  - ,  - ,  - ,  2 ,  - 
서울특별시,관악구,남현동,  1 ,  - ,  - ,  - ,  - ,  1 ,  - ,  - ,  - 
서울특별시,관악구,봉천동,  4 ,  1 ,  1 ,  - ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,관악구,신림동,  6 ,  - ,  1 ,  3 ,  - ,  - ,  - ,  2 ,  - 
서울특별시,광진구,광장동,  4 ,  1 ,  - ,  1 ,  - ,  - ,  2 ,  - ,  - 
서울특별시,광진구,구의동,  4 ,  - ,  - ,  2 ,  - ,  - ,  - ,  1 ,  1 
서울특별시,광진구,군자동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,광진구,능동,  3 ,  - ,  - ,  1 ,  - ,  - ,  - ,  2 ,  - 
