,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  84 ,  4 ,  7 ,  2 ,  17 ,  22 ,  16 ,  8 ,  8 
서울특별시,강남구,논현동,  77 ,  7 ,  14 ,  5 ,  12 ,  14 ,  13 ,  12 ,  - 
서울특별시,강남구,대치동,  181 ,  21 ,  26 ,  16 ,  23 ,  43 ,  26 ,  22 ,  4 
서울특별시,강남구,도곡동,  47 ,  3 ,  9 ,  4 ,  10 ,  6 ,  4 ,  8 ,  3 
서울특별시,강남구,삼성동,  90 ,  20 ,  5 ,  6 ,  22 ,  8 ,  12 ,  15 ,  2 
서울특별시,강남구,세곡동,  20 ,  11 ,  - ,  - ,  - ,  1 ,  - ,  - ,  8 
서울특별시,강남구,수서동,  42 ,  3 ,  5 ,  2 ,  23 ,  6 ,  2 ,  - ,  1 
서울특별시,강남구,신사동,  84 ,  6 ,  11 ,  13 ,  11 ,  26 ,  3 ,  14 ,  - 
서울특별시,강남구,압구정동,  14 ,  - ,  - ,  2 ,  6 ,  - ,  3 ,  2 ,  1 
서울특별시,강남구,역삼동,  125 ,  19 ,  23 ,  14 ,  16 ,  15 ,  12 ,  26 ,  - 
서울특별시,강남구,율현동,  13 ,  5 ,  3 ,  2 ,  - ,  2 ,  1 ,  - ,  - 
서울특별시,강남구,일원동,  48 ,  4 ,  2 ,  1 ,  15 ,  9 ,  12 ,  1 ,  4 
서울특별시,강남구,자곡동,  17 ,  15 ,  - ,  - ,  - ,  2 ,  - ,  - ,  - 
서울특별시,강남구,청담동,  50 ,  5 ,  10 ,  7 ,  5 ,  10 ,  4 ,  9 ,  - 
서울특별시,강동구,강일동,  21 ,  20 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강동구,고덕동,  54 ,  9 ,  - ,  4 ,  6 ,  9 ,  14 ,  12 ,  - 
서울특별시,강동구,길동,  62 ,  9 ,  8 ,  3 ,  15 ,  7 ,  8 ,  11 ,  1 
서울특별시,강동구,둔촌동,  61 ,  8 ,  7 ,  8 ,  10 ,  8 ,  8 ,  12 ,  - 
서울특별시,강동구,명일동,  48 ,  8 ,  7 ,  6 ,  6 ,  9 ,  9 ,  3 ,  - 
서울특별시,강동구,상일동,  44 ,  9 ,  3 ,  1 ,  3 ,  6 ,  17 ,  5 ,  - 
서울특별시,강동구,성내동,  87 ,  12 ,  14 ,  11 ,  13 ,  14 ,  12 ,  10 ,  1 
서울특별시,강동구,암사동,  68 ,  13 ,  6 ,  11 ,  15 ,  7 ,  7 ,  8 ,  1 
서울특별시,강동구,천호동,  92 ,  20 ,  10 ,  7 ,  12 ,  7 ,  12 ,  22 ,  2 
서울특별시,강북구,미아동,  198 ,  35 ,  22 ,  23 ,  36 ,  15 ,  16 ,  51 ,  - 
서울특별시,강북구,번동,  63 ,  13 ,  12 ,  9 ,  15 ,  8 ,  4 ,  1 ,  1 
서울특별시,강북구,수유동,  203 ,  22 ,  30 ,  26 ,  37 ,  25 ,  20 ,  43 ,  - 
서울특별시,강북구,우이동,  27 ,  1 ,  3 ,  8 ,  4 ,  3 ,  1 ,  7 ,  - 
서울특별시,강서구,가양동,  63 ,  9 ,  15 ,  5 ,  11 ,  19 ,  - ,  3 ,  1 
서울특별시,강서구,개화동,  12 ,  5 ,  1 ,  1 ,  1 ,  - ,  - ,  4 ,  - 
서울특별시,강서구,공항동,  36 ,  3 ,  8 ,  8 ,  2 ,  5 ,  4 ,  5 ,  1 
서울특별시,강서구,과해동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,내발산동,  72 ,  15 ,  22 ,  4 ,  5 ,  7 ,  12 ,  7 ,  - 
서울특별시,강서구,등촌동,  128 ,  25 ,  17 ,  23 ,  39 ,  2 ,  9 ,  13 ,  - 
